---nodes---
southport|-2.72423,-5.47627,13.8688
chester|-1.87787,-6.42664,14.19
thorp|3.18458,-8.84761,-17.362
architects|2.87696,-7.96176,-17.8542
coolangatta|-2.86234,-4.39754,14.255
united nations|-9.19046,-1.71733,-4.0307
germans|-7.40768,-1.43875,-4.26976
ashgrove|9.44371,0.875702,-11.2456
carrington|9.87586,1.6124,-10.6439
singers|-0.136988,-22.4978,1.65088
baritone|-0.68964,-21.6855,1.18172
russia|-9.34254,-0.322474,-4.35797
celtic|3.05509,8.73359,10.8769
oldham|3.7384,9.59142,11.096
strauss|20.4616,-10.3778,-5.73156
fermanagh|20.1615,-9.192,-5.46029
othello|2.89273,14.9615,16.0469
irene|2.76101,14.3203,15.2971
gregson|10.5028,14.2008,0.429041
mallett|11.3101,13.3916,0.219698
nerang|1.83151,14.2522,16.3166
swans|1.10289,15.416,15.878
macgregor|2.56334,-8.99191,-20.4109
procurement|2.44361,-9.43658,-19.6003
indonesia|-9.57288,-2.1092,-0.00656393
indonesian|-10.0572,-3.11482,-0.424953
don giovanni|20.5573,-11.25,-6.38119
woodhouse|14.9917,-13.9331,13.577
methodist church|14.4572,-14.9265,13.1493
ships|-9.62319,-1.18652,-5.07666
colour|-7.09647,-4.60993,-4.5801
cole|-7.36501,-4.35253,-3.56876
rockhampton|-11.5608,-2.49498,-3.38195
adelaide.|-11.5877,-0.670371,-5.08446
st lucia|-14.7921,-12.1997,-10.9219
murrell|-16.8217,-12.9423,-11.182
tarong|-5.64418,8.04426,17.1234
camels|-6.61973,8.50687,17.8039
wright|-10.1418,-1.91234,-5.62922
hammond|-12.5563,4.90762,-5.25487
shannon|-9.77513,-4.28226,-4.91517
tramway|-8.95087,-4.10118,-6.39901
criminals|-9.10907,-5.43828,-11.4448
nuremberg|-8.24188,-4.80022,-9.91525
lawrence|-5.61914,-10.6912,-5.92277
leonard|-6.59154,-8.57116,-5.71955
whales|10.1728,6.08829,-6.82636
whaling|10.422,6.17531,-5.6846
westcott|22.7092,2.36911,-2.19791
hazell|23.649,1.9131,-2.27879
everett|0.371446,-8.19572,-15.987
wimmer|-0.413644,-7.60763,-16.4348
china|-8.00289,-2.35837,-4.73316
mackay|-10.751,-2.07412,-4.1577
taylor|-10.2404,-2.29487,-4.94664
bogart|1.12319,25.3818,2.59468
angels|1.98838,25.0718,3.15095
burketown|-14.0998,-4.72048,2.85309
cloncurry|-12.671,-2.59541,-0.943698
children|-9.77485,-1.54829,-5.67463
railway|-9.12884,-1.76046,-4.87991
john|-9.59479,-2.94064,-4.79952
barnes|-10.5458,-3.23282,-4.8835
queensland|-10.4801,-2.55905,-4.36654
new south wales|-10.326,-3.32976,-4.20651
burton|-9.11764,-3.79981,-4.86335
wilson|-10.7942,-1.77323,-5.74718
south australia|-11.0842,-3.50223,-3.65643
ford|-10.4589,-2.24436,-6.75469
japan|-9.9874,-0.806365,-4.79347
boxing|-12.4235,-1.02619,-7.42869
richards|-12.0479,-3.23029,-8.13707
new guinea|-9.16682,-1.20413,-4.75967
williams|-9.80886,-1.8573,-6.03626
johnson|-10.8034,-2.4313,-5.46671
miller|-10.2314,-2.6085,-5.88547
banks|-11.283,-1.45803,-5.08569
sicily|-8.16075,-0.57169,-4.03646
malta|-6.54548,2.63672,-3.69574
times|-12.602,-6.00905,-2.94297
herald|-13.5874,-8.34637,-2.23311
martin|-9.96476,-1.06235,-6.57302
davis|-10.3551,-1.57618,-6.34549
haines|-1.89717,12.6861,19.7258
paradise|-1.57733,11.7575,19.993
gale|-12.3567,0.106807,1.02325
